experiment,od550aer,abs550aer,angstrm550_865,ssa550,ccns.3,ccncol.3,cdnc_incl_ct,clt,cllvi,clivi,pr,scre,lcre,fnet
base,1.5003e-01,4.8350e-03,9.1660e-01,9.6668e-01,1.5780e+08,8.3684e+15,4.6576e+07,6.8932e-01,9.9812e-02,1.0659e-02,3.5006e-05,-5.4595e+01,2.8760e+01,-7.2572e+00
emi_ant_bc_H,1.5000e-01,5.1753e-03,9.1776e-01,9.6407e-01,1.6065e+08,8.3700e+15,4.5888e+07,6.8923e-01,9.9691e-02,1.0668e-02,3.4959e-05,-5.4652e+01,2.8829e+01,-7.1956e+00
emi_ant_bc_L,1.4959e-01,4.6871e-03,9.1761e-01,9.6773e-01,1.5635e+08,8.3678e+15,4.5469e+07,6.8856e-01,9.9542e-02,1.0675e-02,3.5020e-05,-5.4471e+01,2.8775e+01,-7.1262e+00
emi_ant_oc_H,1.4994e-01,4.8379e-03,9.2258e-01,9.6670e-01,1.6635e+08,8.3720e+15,4.7295e+07,6.8831e-01,1.0009e-01,1.0657e-02,3.4924e-05,-5.4708e+01,2.8822e+01,-7.2893e+00
emi_ant_oc_L,1.4945e-01,4.8231e-03,9.1572e-01,9.6662e-01,1.5341e+08,8.3666e+15,4.5079e+07,6.8793e-01,9.9307e-02,1.0653e-02,3.4975e-05,-5.4489e+01,2.8804e+01,-7.0756e+00
emi_ant_so2_H,1.5412e-01,4.8243e-03,9.2050e-01,9.6791e-01,1.7079e+08,8.3733e+15,4.8576e+07,6.8929e-01,1.0021e-01,1.0668e-02,3.5000e-05,-5.4685e+01,2.8745e+01,-7.4401e+00
emi_ant_so2_L,1.4766e-01,4.8226e-03,9.1586e-01,9.6595e-01,1.5142e+08,8.3660e+15,4.5396e+07,6.8894e-01,9.9494e-02,1.0639e-02,3.4989e-05,-5.4586e+01,2.8808e+01,-7.1439e+00
emi_bb_bc_H,1.5168e-01,6.4741e-03,9.1145e-01,9.5980e-01,1.5817e+08,8.3693e+15,4.5353e+07,6.8976e-01,1.0024e-01,1.0654e-02,3.4915e-05,-5.4817e+01,2.8776e+01,-7.3397e+00
emi_bb_bc_L,1.4963e-01,4.3513e-03,9.1968e-01,9.6906e-01,1.5804e+08,8.3682e+15,4.6341e+07,6.8836e-01,9.9792e-02,1.0622e-02,3.5000e-05,-5.4534e+01,2.8703e+01,-7.2884e+00
emi_bb_oc_H,1.6482e-01,5.3312e-03,9.3620e-01,9.6886e-01,1.6826e+08,8.3790e+15,5.0342e+07,6.8883e-01,1.0013e-01,1.0639e-02,3.4897e-05,-5.4612e+01,2.8782e+01,-7.4530e+00
emi_bb_oc_L,1.4602e-01,4.6415e-03,9.0845e-01,9.6553e-01,1.5245e+08,8.3626e+15,4.4936e+07,6.8879e-01,9.9567e-02,1.0681e-02,3.4977e-05,-5.4563e+01,2.8822e+01,-7.0621e+00
emi_bb_so2_H,1.5216e-01,4.8372e-03,9.1910e-01,9.6775e-01,1.6676e+08,8.3781e+15,4.7084e+07,6.8933e-01,9.9882e-02,1.0672e-02,3.4973e-05,-5.4666e+01,2.8731e+01,-7.3811e+00
emi_bb_so2_L,1.4929e-01,4.8265e-03,9.1639e-01,9.6630e-01,1.5387e+08,8.3640e+15,4.5900e+07,6.8971e-01,9.9812e-02,1.0659e-02,3.5000e-05,-5.4642e+01,2.8785e+01,-7.2559e+00
emi_dms_H,1.6668e-01,4.8279e-03,9.0069e-01,9.6898e-01,1.7042e+08,8.3754e+15,5.4737e+07,6.9013e-01,1.0363e-01,1.0664e-02,3.4932e-05,-5.5567e+01,2.8833e+01,-8.5215e+00
emi_dms_L,1.4254e-01,4.8292e-03,9.2626e-01,9.6528e-01,1.5237e+08,8.3654e+15,4.2625e+07,6.8795e-01,9.7977e-02,1.0638e-02,3.5028e-05,-5.4098e+01,2.8644e+01,-6.6911e+00
emi_ss_acc_H,1.8379e-01,4.8367e-03,9.6047e-01,9.6949e-01,2.0572e+08,8.3822e+15,6.1485e+07,6.9353e-01,1.1233e-01,1.0702e-02,3.4923e-05,-5.6413e+01,2.8937e+01,-9.5553e+00
emi_ss_acc_L,1.3515e-01,4.8274e-03,8.5428e-01,9.6424e-01,1.3789e+08,8.3631e+15,4.3473e+07,6.8885e-01,9.1764e-02,1.0660e-02,3.5013e-05,-5.3689e+01,2.8808e+01,-5.9780e+00
emi_ss_coarse_H,1.7043e-01,4.8344e-03,7.8842e-01,9.6822e-01,1.5839e+08,8.3685e+15,4.5518e+07,6.9092e-01,9.9338e-02,1.0653e-02,3.4987e-05,-5.4375e+01,2.8801e+01,-7.4918e+00
emi_ss_coarse_L,1.4036e-01,4.8337e-03,1.0335e+00,9.6567e-01,1.5764e+08,8.3682e+15,4.6552e+07,6.8812e-01,1.0010e-01,1.0662e-02,3.5016e-05,-5.4720e+01,2.8761e+01,-7.1314e+00
emi_ss_expo_H,1.9204e-01,4.8437e-03,8.7072e-01,9.6963e-01,1.9515e+08,8.3796e+15,5.4588e+07,6.9255e-01,1.0962e-01,1.0690e-02,3.4989e-05,-5.5862e+01,2.8909e+01,-9.2576e+00
emi_ss_expo_L,1.3380e-01,4.8248e-03,9.5650e-01,9.6433e-01,1.4394e+08,8.3645e+15,4.4943e+07,6.8786e-01,9.4409e-02,1.0653e-02,3.4978e-05,-5.3935e+01,2.8667e+01,-6.2960e+00
emi_du_H,1.5921e-01,5.0635e-03,9.1094e-01,9.6684e-01,1.5801e+08,8.3684e+15,4.5828e+07,6.8920e-01,9.9451e-02,1.0655e-02,3.4977e-05,-5.4508e+01,2.8814e+01,-7.2450e+00
emi_du_L,1.4539e-01,4.7194e-03,9.2221e-01,9.6648e-01,1.5776e+08,8.3682e+15,4.6373e+07,6.8924e-01,9.9932e-02,1.0636e-02,3.4996e-05,-5.4706e+01,2.8790e+01,-7.2539e+00
emi_cmr_bb_H,1.5002e-01,4.8295e-03,9.1197e-01,9.6678e-01,1.5096e+08,8.3631e+15,4.4870e+07,6.8921e-01,9.9457e-02,1.0642e-02,3.4981e-05,-5.4503e+01,2.8769e+01,-7.1427e+00
emi_cmr_bb_L,1.4816e-01,4.7178e-03,9.1857e-01,9.6626e-01,1.7752e+08,8.3805e+15,5.1009e+07,6.8898e-01,1.0051e-01,1.0638e-02,3.4961e-05,-5.4770e+01,2.8652e+01,-7.5084e+00
emi_cmr_ff_H,1.4986e-01,4.8335e-03,9.1671e-01,9.6660e-01,1.5477e+08,8.3670e+15,4.5794e+07,6.8921e-01,9.9779e-02,1.0652e-02,3.5019e-05,-5.4610e+01,2.8718e+01,-7.3132e+00
emi_cmr_ff_L,1.4975e-01,4.8037e-03,9.1840e-01,9.6674e-01,1.7093e+08,8.3736e+15,4.8806e+07,6.8963e-01,1.0074e-01,1.0665e-02,3.4957e-05,-5.4833e+01,2.8876e+01,-7.3611e+00
rad_bc_ni_H,1.4983e-01,5.6555e-03,9.1184e-01,9.6026e-01,1.5745e+08,8.3683e+15,4.6746e+07,6.8869e-01,9.9652e-02,1.0648e-02,3.4937e-05,-5.4599e+01,2.8715e+01,-7.1805e+00
rad_bc_ni_L,1.4885e-01,2.4250e-03,9.3102e-01,9.8556e-01,1.5865e+08,8.3679e+15,4.6431e+07,6.8941e-01,9.9955e-02,1.0653e-02,3.5109e-05,-5.4862e+01,2.8839e+01,-7.7282e+00
rad_oc_ni_H,1.5172e-01,7.3382e-03,8.5342e-01,9.4835e-01,1.5696e+08,8.3692e+15,4.5366e+07,6.8842e-01,9.9530e-02,1.0624e-02,3.4670e-05,-5.4237e+01,2.8700e+01,-6.4610e+00
rad_oc_ni_L,1.4975e-01,4.5619e-03,9.2442e-01,9.6871e-01,1.5788e+08,8.3682e+15,4.7770e+07,6.8923e-01,1.0004e-01,1.0672e-02,3.5020e-05,-5.4770e+01,2.8808e+01,-7.4423e+00
rad_du_ni_H,1.5386e-01,1.1716e-02,9.1619e-01,9.4756e-01,1.5753e+08,8.3694e+15,4.6730e+07,6.8911e-01,1.0008e-01,1.0579e-02,3.4468e-05,-5.4428e+01,2.8783e+01,-5.7585e+00
rad_du_ni_L,1.4963e-01,4.0258e-03,9.1721e-01,9.6893e-01,1.5775e+08,8.3682e+15,4.5848e+07,6.9008e-01,9.9967e-02,1.0660e-02,3.5097e-05,-5.4741e+01,2.8741e+01,-7.6329e+00
kappa_oc_H,1.6191e-01,4.8681e-03,9.2136e-01,9.7070e-01,1.5773e+08,8.3685e+15,4.6174e+07,6.8955e-01,9.9784e-02,1.0629e-02,3.4948e-05,-5.4529e+01,2.8728e+01,-7.4320e+00
kappa_oc_L,1.4855e-01,4.8236e-03,9.1585e-01,9.6594e-01,1.5774e+08,8.3683e+15,4.7030e+07,6.8925e-01,9.9904e-02,1.0651e-02,3.5004e-05,-5.4695e+01,2.8766e+01,-7.3270e+00
kappa_so4_H,1.6183e-01,4.8455e-03,9.0993e-01,9.6919e-01,1.5774e+08,8.3684e+15,4.6027e+07,6.8851e-01,9.9723e-02,1.0670e-02,3.4988e-05,-5.4424e+01,2.8814e+01,-7.2170e+00
kappa_so4_L,1.3086e-01,4.8023e-03,9.2054e-01,9.6118e-01,1.5760e+08,8.3680e+15,4.6708e+07,6.8941e-01,9.9329e-02,1.0652e-02,3.4985e-05,-5.4681e+01,2.8764e+01,-6.9580e+00
wetdep_bc_H,1.4534e-01,4.7598e-03,9.4283e-01,9.6586e-01,1.5735e+08,8.3680e+15,4.6519e+07,6.8894e-01,9.9828e-02,1.0675e-02,3.5023e-05,-5.4805e+01,2.8727e+01,-7.3831e+00
wetdep_bc_L,1.5196e-01,4.8608e-03,9.0030e-01,9.6721e-01,1.5765e+08,8.3684e+15,4.6071e+07,6.8959e-01,9.9934e-02,1.0630e-02,3.4973e-05,-5.4646e+01,2.8794e+01,-7.3198e+00
wetdep_ic_H,1.3766e-01,4.6790e-03,9.2205e-01,9.6506e-01,1.5564e+08,8.3591e+15,4.3285e+07,6.8831e-01,9.6683e-02,1.0643e-02,3.5052e-05,-5.3892e+01,2.8688e+01,-6.3214e+00
wetdep_ic_L,1.6551e-01,5.0215e-03,9.1084e-01,9.6840e-01,1.6022e+08,8.3804e+15,4.9965e+07,6.9054e-01,1.0328e-01,1.0664e-02,3.4934e-05,-5.5299e+01,2.8884e+01,-8.1784e+00
drydep_acc_H,1.3912e-01,4.5970e-03,8.8490e-01,9.6529e-01,9.9107e+07,8.3551e+15,3.5789e+07,6.8785e-01,9.3200e-02,1.0681e-02,3.5100e-05,-5.3314e+01,2.8855e+01,-5.6661e+00
drydep_acc_L,1.5173e-01,4.8707e-03,9.2277e-01,9.6686e-01,1.7173e+08,8.3707e+15,4.8847e+07,6.8886e-01,1.0076e-01,1.0626e-02,3.4932e-05,-5.4779e+01,2.8771e+01,-7.4508e+00
nuc_bl_ft_H,1.4979e-01,4.8215e-03,9.1888e-01,9.6655e-01,1.6081e+08,8.3692e+15,4.8288e+07,6.8842e-01,1.0005e-01,1.0656e-02,3.4973e-05,-5.4771e+01,2.8812e+01,-7.3627e+00
